epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,369.531,1.87195,3.10076,1.7464,0.47295,0.42488,0.41646,0.19783,1.74654,1.95545,1.67226,0.00999313,0.00333104,0.00999313,0.00333104,0.00999313,0.00333104,0.00999313,0.00333104
2,663.047,1.82415,2.2686,1.71427,0.50927,0.42061,0.43116,0.20457,1.72131,2.096,1.77372,0.0197952,0.0065984,0.0197952,0.0065984,0.0197952,0.0065984,0.0197952,0.0065984
3,913.427,1.86837,2.18726,1.77761,0.35767,0.40386,0.36035,0.16113,1.89002,2.19991,1.87724,0.0293993,0.00979975,0.0293993,0.00979975,0.0293993,0.00979975,0.0293993,0.00979975
4,1203.47,1.86859,2.13259,1.81943,0.47756,0.52086,0.48109,0.24023,1.69305,1.69939,1.77002,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1451,1.79558,1.97587,1.7693,0.554,0.50279,0.52759,0.27282,1.63246,1.65979,1.72109,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1714.81,1.73466,1.84158,1.73143,0.60685,0.54209,0.58448,0.30969,1.58126,1.51687,1.70158,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1978.58,1.69259,1.77206,1.70207,0.64476,0.57461,0.61999,0.3416,1.54347,1.36402,1.65547,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,230.095,1.64977,1.67931,1.66024,0.6814,0.58833,0.65118,0.36557,1.48736,1.30755,1.61292,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,476.4,1.61825,1.61497,1.64206,0.71476,0.62235,0.68737,0.38824,1.45898,1.23034,1.58145,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,725.731,1.58547,1.56118,1.61473,0.72708,0.59277,0.68147,0.4011,1.4118,1.17487,1.54706,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
